date,time,username,tweet,likes_count
2021-02-12,15:15:36,johnavlon,Trumps lawyers are arguing the reason they’re cutting their time short isn’t because they don’t have an argument but because they’ll hope they’ll use it to pass Joe Biden‘s Covid relief bill? Interesting tactic.,132
2021-02-12,15:14:02,forbes,New York Democrats slammed Cuomo for underreporting nursing home Covid deaths  https://t.co/nDQZyI2hGg  https://t.co/y7UWcqPJOi,70
2021-02-12,15:11:00,thenewsoncnbc,"The Biden administration is reportedly weighing domestic travel restrictions as new Covid variants spread. “The reality is B117 is here, it’s going to continue to spread whether we put in place travel restrictions or not,” @ScottGottliebMD said Thursday.  https://t.co/AuIrYRkXu4",130
2021-02-12,14:56:20,yankees,"Today, guidance counselor and lifelong Yankees fan Lissette Gonzalez of South Bronx Prep received the 10,000th dose of the Pfizer Covid-19 vaccine at Yankee Stadium, administered by Dr. Juan Tapia! #VaccinateNY  📸: Kevin P. Coughlin / Office of Governor Andrew M. Cuomo  https://t.co/FRj5var7bI",1281
2021-02-12,14:55:01,debramessing,Women make up roughly 88% of the NYC's paid caregivers and have been disproportionately affected by COVID-19. @mayawiley has a plan to uplift and support these essential workers! #MayaforMayor!!!  https://t.co/UhGWIBdvpr,71
2021-02-12,14:22:59,nypmetro,More than 300 Holocaust survivors get COVID-19 vaccine in Brooklyn  https://t.co/EJT316DQ54  https://t.co/vUwR1wHe9f,61
2021-02-12,14:22:59,nypost,More than 300 Holocaust survivors get COVID-19 vaccine in Brooklyn  https://t.co/Ijey3OjM6m  https://t.co/vz8izwmdGS,296
2021-02-12,14:11:00,medscape,This week the CDC officially recommended #DoubleMasking to prevent COVID. It's this week's clinical trend.  https://t.co/91boWknPtX  https://t.co/Yo1yvZJROC,191
2021-02-12,14:10:33,maxboot,Tucker’s conspiracy mongering is likely to discourage Fox’s elderly viewers—at the highest risk of dying from covid-19—from getting vaccines that could save their lives.  One fact he did not mention: His boss Rupert Murdoch has already been vaccinated.  https://t.co/8HcgCoFwKb,185
2021-02-12,14:08:54,wsj,"Schools should re-open safely as soon as possible, the CDC said, issuing new guidelines it said would reduce the risk of Covid-19 transmission in classrooms  https://t.co/cTHnRzWv7S",115
2021-02-12,13:53:38,naomirwolf,"Actual tour of actual PCR test lab (PCR tests have been used for COVID) w Expert Kevin McKernan, Medicinal Genomics, Beverly MA. McKernan explains to me exactly why they are diagnostically useless as they’ve been done.  https://t.co/4wutWfRYmt via @YouTube",420
2021-02-12,13:51:18,gjoyce9,"Kevin Durant on mental strain of not being able to get away from the game due to COVID-19 protocols: ""I mean, shit. It's not that bad. We're making millions of dollars to hoop and do something we love every day. We'll figure the rest out.""",381
2021-02-12,13:29:04,nbcnews,"“Covid’s not just killing people by the disease. It’s killing people by depression and suicide,” Dylan Buckner’s father said, adding that no one should feel ashamed if they need help.  https://t.co/HSOC1PUZUe",118
2021-02-12,13:18:29,janicedean,NY Dems want Cuomo's COVID powers gone amid nursing home bombshell  https://t.co/RSotjsQNu5,860
2021-02-12,13:17:38,grady,"#Nets about to be a little smaller tomorrow. No DeAndre Jordan for personal reasons, (not COVID related) and the hope is that he’ll be back soon.",99
2021-02-12,13:15:54,nyulangone,Spike Lee celebrates #BlackHistoryMonth by getting his first dose of the #COVID19 vaccine at @nyulangone. We're honored to be a part of his public message to encourage vaccination among communities hit hardest by COVID.  https://t.co/1jhaxQTvJr,59
2021-02-12,13:14:30,wsj,Officials in both political parties rebuked New York Gov. Cuomo after learning his administration held off releasing a fuller accounting of Covid-19 deaths in nursing homes out of its fear that the Trump administration would politicize the information  https://t.co/EPYZDB72m8,132
2021-02-12,13:13:43,jordanchariton,"“There were no face shields, no suits, nothing!’ -Christina Brown, sister of 38-year-old @amazon worker Poushawn Brown.  Poushawn suddenly died in January after conducting COVID tests on her colleagues for months in Amazon Virginia warehouse  https://t.co/dUwd7v1qR6",116
2021-02-12,13:03:15,chaimdeutsch,"What a generous reprieve from His Royal Highness. I’m also glad to know that on Sunday (and not a moment sooner), COVID will no longer be out and about from 10pm to 11pm.",92
2021-02-12,13:02:43,alexberenson,"Boomshakala.  Maybe Twitter should deplatform the Cuomo brothers for repeated disinformation about #Covid.  Nah, I’m just funning. The unintentional comedy that is @ChrisCuomo is too good to miss.",692
2021-02-12,13:02:20,hansilowang,"2. This delay, first reported by @miwine &amp; @emilybazelon of The New York Times, is expected to be publicly announced by the Census Bureau soon.   The census schedule has been dogged by COVID-19 and the Trump administration's interference.  (Sorry for 1st tweet's typo: *data are)",181
2021-02-12,13:00:59,salazarsenate,"Today, my colleagues and I issued a joint statement calling for an end to the Governor’s expanded emergency powers. While COVID-19 has tested the limits of our state and required us to restructure our decision making, it is clear that the expanded powers are no longer appropriate  https://t.co/xXDutWaRi3",112
2021-02-12,12:51:28,jimmyvanbramer,"While Amazon and big corporations have flourished during the pandemic, small businesses have struggled to survive, with workers risking their lives to keep the economy afloat. Join us as we discuss what good jobs should look like in a post-COVID economy.  https://t.co/36wo4E7xD4  https://t.co/DP1m0X2uX7",57
2021-02-12,12:42:06,loudobbs,"China wouldn’t give WHO investigators raw data on early Covid-19 cases that could help them determine the pandemic’s origins, WHO investigators said  https://t.co/WKu8uMqNRW",3163
2021-02-12,12:41:41,nypost,NY Dems want Cuomo to lose COVID powers after Post nursing home bombshell  https://t.co/swLbcWAJAF  https://t.co/83Ebt41xI1,476
2021-02-12,12:37:11,marshallproj,Two people in prison had a ritual of playing chess. Then the prison banned the game due to COVID-19. So they played in their minds.    “Do you remember where everything is?” “Of course I do. It’s your turn.”  https://t.co/5CEpEKk1TG,56
2021-02-12,12:32:29,wsj,"China wouldn't provide raw data on early Covid-19 cases that could help the WHO determine how the coronavirus spread there, investigators said  https://t.co/n91N3dG2Ys",180
2021-02-12,12:30:00,gmfb,".@LaurentDTardif took a year off of football to help COVID patients.  ""When he returns to the field put ""Dr."" or ""MD"" on the back of his jersey."" -- @MikeGarafolo  https://t.co/P0OF27PNkr",177
2021-02-12,12:27:09,seanhannity,UNHAPPIEST PLACE ON EARTH: Disney Considers Ditching California for Florida Over CoVID Rules  https://t.co/Yiunb3CuZd,852
2021-02-12,12:25:59,drtomfrieden,"Fast forward to 2023. Covid is largely behind us, but a new influenza virus has emerged. Will the world be better prepared to respond?  https://t.co/iaYytnTlRG",125
2021-02-12,12:19:06,forbes,New York Democrats slam Cuomo for underreporting nursing home COVID-19 deaths  https://t.co/1tYeBXBA6e  https://t.co/xOKPbMUhZq,608
2021-02-12,12:06:18,unicefchief,"As we respond to the COVID-19 pandemic, we must set the stage for an equal recovery.  This week, I joined @DrTedros to call on leaders to look beyond their borders and ensure fair distribution of vaccines.  https://t.co/648n2De7nx",307
2021-02-12,11:52:40,nygovcuomo,"Today's update on the numbers:  Total COVID hospitalizations are at 7,068.  Of the 237,134 tests reported yesterday, 8,404 were positive (3.54% of total).  Sadly, there were 135 fatalities.  https://t.co/ioQNhsY1OH",1188
2021-02-12,11:52:30,askdrruth,"As we approach our 2nd Covid Valentine's Day, I don't want you to use the virus as an excuse not to be romantic.  So you can't go out to dinner. Maybe if you fast it will wake up your other appetites!",66
2021-02-12,11:40:03,democracynow,"Biden Blasts Trump’s Failures to Prepare for Vaccinations as U.S. COVID-19 Death Toll Tops 475,000  https://t.co/dzLAFQrvZZ",58
2021-02-12,11:36:40,charlesornstein,"Prioritizing COVID-19 vaccinations for people 75 and up can leave out Black Americans, who tend to die younger than their white counterparts. In one majority-Black county, this age gap raises questions about how to make the vaccine rollout equitable.  https://t.co/3L9JkRXH0t",59
2021-02-12,11:36:14,charlesornstein,NEW and IMPORTANT: People Over 75 Are First in Line to Be Vaccinated Against COVID-19. The Average Black Person Doesn’t Live That Long.  https://t.co/3L9JkRXH0t by @wendi_c_thomas @hgrabenstein,96
2021-02-12,11:34:51,propublica,"New: Prioritizing COVID-19 vaccinations for people 75 and up can leave out Black Americans, who tend to die younger than their white counterparts. In one majority-Black county, this age gap raises questions about how to make the vaccine rollout equitable.  https://t.co/5DYgRoNfAm",124
2021-02-12,11:28:33,forbes,Why doctors feel happy to get symptoms from the Covid-19 vaccine  https://t.co/EID3jpIZCA  https://t.co/56Kv5p3mG6,69
2021-02-12,11:25:21,jacobinmag,"Centrist think thank Third Way is boosting a campaign to deny $1,400 COVID-19 survival checks to tens of millions of Americans and undermining the push to raise the minimum wage to $15.  https://t.co/yeCH6HlDc8",196
2021-02-12,11:13:00,cnbc,Daily Covid cases are down 60% since their peak in early to mid-January and hospitalizations are down 40%. @megtirrell reports on what experts have to say about those figures and the increasing number of people getting vaccinated.  https://t.co/A6vfJ13d6B  https://t.co/i40Bo0h2y4,76
2021-02-12,11:08:00,loudwire,YES!!!: @OzzyOsbourne receives first dose of Covid-19 vaccine:  https://t.co/Wak3TQ0qza,570
2021-02-12,11:07:50,celinegounder,"Since the Pfizer and Moderna COVID were authorized by the FDA, ~20K pregnant women have been vaccinated without any red flags.  https://t.co/90asPLmNbi But formal clinical trials of the vaccines are starting in pregnant women and children now.",169
2021-02-12,11:02:01,cnbc,"House advances $1,400 payments, unemployment boost as part of Covid relief plan  https://t.co/H4oUOMz5mB",76
2021-02-12,10:53:35,nypost,"Children are half as susceptible to COVID-19 as adults, study says  https://t.co/y7Ifp2fQPt  https://t.co/fpRnatsGph",50
2021-02-12,10:49:44,kylenabecker,"""Republicans call for investigation into Gov. Cuomo following New York Post report on nursing home COVID-19 death.""  This is always the spin when a Dem gets in hot water. It's a deathly serious matter &amp; all Twitter trends can show is a version of 'Republicans pounce.' Nonsense.",394
2021-02-12,10:44:50,vandanarambaran,BREAKING: Cuomo aide attempts to clarify bombshell admission in COVID-19 nursing home death probe @FoxNews  https://t.co/j7XkbUHbHQ,51
2021-02-12,10:43:27,amandajchoy,"As we wish our Asian friends and family a Happy Lunar New Year today, we can't ignore the relentless anti-Asian hate crimes that have spiked tremendously during the COVID-19 pandemic.  https://t.co/HUpBSr70wj",295
2021-02-12,10:35:33,nypost,Biden tells Americans to wear masks for COVID-19 until at least 2022  https://t.co/SnkIWh7c4s  https://t.co/pXZErV38cS,1103
2021-02-12,10:19:37,alexberenson,"Nothing to see here, folks. Just school districts in multiple states being forced to close because so many teachers are having side effects following #Covid vaccinations.  And you thought the vaccine was supposed to help schools open! Silly billies  https://t.co/JAGN4ZGhMM",2202
2021-02-12,10:18:54,shaniyat2020,"Egos like Cuomo have hurt the lives of people over the last several years.  While he hid COVID data in nursing homes, he was also allowing experimental drugs to be administered to veterans in the same spaces.  All while he profited from selling his books for the sake of his ego.",52
2021-02-12,10:15:05,wsj,"Daily U.S. Covid-19 deaths appear to be declining from all-time highs, prompting cautious optimism from public-health officials and medical professionals  https://t.co/B8sxnaMd3b",101
2021-02-12,10:15:03,nytimes,El médico tenía 6 horas para encontrar a 10 personas elegibles para recibir las dosis de un vial abierto de la vacuna para la covid antes de que expirara. Hizo visitas a domicilio y citó a otros en su casa. Luego lo despidieron y lo acusaron de robo.  https://t.co/6LW1SuPxjb,108
2021-02-12,10:02:26,ewrairport,"Your safety = our priority.   COVID-19 testing is available in Terminal B through @XpresCheck. To learn more about rapid, PCR or antibody testing options or to schedule an appointment, visit:  https://t.co/iKIgIJiRxz  https://t.co/l1fKQigZNy",122
2021-02-12,09:51:08,alannavagianos,NEW: I spoke to 3 nannies who said the power imbalance between worker &amp; employer has only increased during COVID-19.   “We take care of their most prized possession -- their children. They should treat us like human beings... Take our work as real work.”   https://t.co/J7ThQSP0U0,75
2021-02-12,09:50:56,complex,Biden says U.S. on track to have 600 million COVID-19 vaccine doses by end of July.  https://t.co/UnUiZelHU3,249
2021-02-12,09:43:35,forbes,"Blood thinning drugs can reduce the risk of death in Covid-19 patients, a group of British and American researchers said in a paper Thursday  https://t.co/AXX9YZ38bC  https://t.co/QIZgV3nMIE",100
2021-02-12,09:43:29,chelseaclinton,“This COVID-vaccine designer is tackling vaccine hesitancy — in churches and on Twitter.”  ⁦@KizzyPhD⁩ is a hero &amp; deserves every accolade for her tireless work:  https://t.co/VDbqn092uX,871
2021-02-12,09:41:49,foxbusiness,NY Rep. Tom Reed will file criminal complaint against Cuomo aide for alleged COVID-19 nursing home cover-up  https://t.co/fNg3nsbcKs,505
2021-02-12,09:40:30,chelseaclinton,Great example of the clear straightforward expert-led communication we need: “All COVID vaccines stop severe illness and death. Take what's offered.”  https://t.co/SxEpYlMMpL,1363
2021-02-12,09:39:41,judgejeanine,""" What you had was a Governor who is a liar, a political bully and what he has done is he made the decision to infect the most vulnerable in our society by sending in COVID infected patients- that's a no brainer right there.""- Judge Jeanine on @foxandfriends this morning.  https://t.co/Ph9BNoe4IC",2642
2021-02-12,09:38:41,drtomfrieden,"Hang in there. The pandemic won’t go on forever. By the fall, we'll be in a much better situation. Mask up and limit time indoors with people not in your household. Vaccines are coming and we're learning more every day about Covid and how to prevent and treat it.",5479
2021-02-12,09:30:06,cbsnews,"Europe's oldest person, French nun Sister Andre, who survived COVID-19, celebrated her 117th birthday on Thursday with a cake and a prayer  https://t.co/3QVsKnIh75  https://t.co/y4G56irfsk",1042
2021-02-12,09:24:04,verge,How to score a COVID-19 vaccine appointment  https://t.co/Ho3uz10Ze1  https://t.co/1lBBEUiEyB,70
2021-02-12,09:19:49,asteiner,"The COVID-19 pandemic highlights the need to act as 1 to address the challenges posed by #inequality, #ClimateChange &amp; #governance. 🙏 to flexible funding from #PartnersAtCore the @DutchMFA to support @UNDP’s work to #BuildForwardBetter towards the #SDGs.  https://t.co/6aJLjTd3Kj  https://t.co/uEybBTDJwI",67
2021-02-12,09:12:42,celinegounder,"Which COVID vaccine should you get? I explain, with ⁦@ZekeEmanuel⁩, @mtosterholm, @llborio, @Atul_Gawande, and @RickABright. We were all members of the Biden-Harris Transition COVID-19 Advisory Board.   https://t.co/USfq8jdN4d",207
2021-02-12,09:11:45,noahmichelson,In this new @HuffPost Personal piece @thanh_neville writes about the heartbreaking moments she's experienced -- and can't stop replaying in her mind -- while caring for COVID-19 patients  It's a harrowing reminder that the pandemic is far from over   https://t.co/Inb3lE8euu,63
2021-02-12,09:10:01,katearonoff,"“if the first 2b doses of Covid-19 vaccines were distributed proportionally by national population, worldwide deaths would fall by 61%. But if the doses are monopolised by  47 of the world’s richest countries, only 33% fewer people will die.”  https://t.co/v0inkVmmCJ",124
2021-02-12,09:06:48,alexberenson,"Yeppers. And since the Democrats won’t/can’t stand up to teachers unions, they can only win by keeping the Covid panic going into a second year. Which is a big ask, what with the hospitals emptying and the tiny number of deaths in healthy people and all.  Thus the new variants.",599
2021-02-12,08:49:18,petervecsey1,"It took intervention by PBA official to get Lou Carnesecca, 96, covid vaccine several days ago in Queens where he lives. Last I heard earlier in week, Worcester, MA’s Bob Cousy, 92, had been unable to schedule appointment.",64
2021-02-12,08:30:32,katehinds,"""A 98-year-old concentration camp survivor...said she’s avoided stores and even medical visits during the pandemic and has been unable to see her grandson."" But she just got her first COVID vaccine:  https://t.co/2qJvM9l0je by @sydneyp1234 @s_nessen",67
2021-02-12,08:30:13,gothamist,"Alexander Milman is an 84-year-old Bensonhurst resident who survived a Nazi concentration camp during World War II. On Thursday, he and his wife got their first dose of a COVID-19 vaccine during a one-day pop-up site for survivors.  https://t.co/5tzUyJ6Td8",188
2021-02-12,08:30:00,kylegriffin1,Schumer credits the wins of Senators Ossoff and Warnock with paving way for a bigger COVID-19 relief package.  https://t.co/oB20xCdtRr,6628
2021-02-12,08:21:07,nypost,Dave Ramsey says people relying on COVID stimulus checks 'screwed already'  https://t.co/Y8SrV1u797  https://t.co/8KAGlb3QwP,200
2021-02-12,08:20:54,gma,A new recommendation says to delay mammograms following the COVID vaccine. @DrJAshton has the latest.  https://t.co/l3NDG9G5zc,62
2021-02-12,08:19:55,forbes,Here’s how hotels are keeping romance alive during Covid-19:  https://t.co/ktqHzYAoey  https://t.co/yTxz4TBgHf,74
2021-02-12,07:56:24,geraldorivera,2 Golden Boy Governors who were early stars in the fight against Covid appear to have done a less than stellar job. ⁦@GavinNewsom⁩ in California and ⁦@NYGovCuomo⁩ in NY now facing intense criticism especially for nursing home deaths.  https://t.co/oTWiSIq8oZ,357
2021-02-12,07:45:42,carlquintanilla,Trading volume now approaching the peak of last spring’s COVID crash.  (via @SoberLook)  https://t.co/njbrK0uK99,95
2021-02-12,07:37:35,joncoopertweets,"Trump was sicker w/ Covid in October than publicly acknowledged, with extremely depressed blood oxygen levels at one point &amp; a lung problem associated w/ pneumonia. Before he was taken to Walter Reed, officials believed he’d need to be put on a ventilator.  https://t.co/oth59pkKXw",118
2021-02-12,07:08:52,joncoopertweets,Damning analysis of Trump's pandemic response suggests that 40% of US COVID-19 deaths could have been avoided.  https://t.co/ljUd5EgWEm,927
2021-02-12,06:51:18,marknyt,“The mental health crisis caused by school closing will be a worse pandemic than Covid.”   https://t.co/9wdKYz0QKI,237
2021-02-12,06:21:06,nypost,"Fully vaccinated people can skip COVID quarantines, CDC says  https://t.co/LkzkbKn62S  https://t.co/CMklLc81EX",142
2021-02-12,06:03:20,nypost,New York secures $50B in funding from Biden's $1.9T COVID relief package  https://t.co/0NriIjKBkv  https://t.co/r65CzYyUgt,362
2021-02-12,05:51:22,propublica,"“He died scared and alone. It didn’t have to be that way. We failed him — not the staff, we did everything we could,” said nurse Kristen Cline after another losing another patient to COVID.   “The system failed him.”   https://t.co/56FHZ3LR14",90
2021-02-12,05:16:45,bucksexton,"Will Biden Quarantine Florida?  The double mask mandate is coming, Biden is thinking about restricting travel to Florida, another example of cancel culture from Disney and the Covid Lockdowns are all about control for Democrats.    https://t.co/txMscQHVmZ",261
2021-02-12,04:01:04,nypost,"Texas boy, 12, hangs himself after battling depression amid COVID-19  https://t.co/bZX66MoU6K  https://t.co/49qNljISPv",136
2021-02-12,03:28:00,dailymail,REVEALED: Trump 'was far sicker with COVID than he admitted'  https://t.co/21zAUu9gcx,54
2021-02-12,03:01:26,dailymail,Calls to prosecute Cuomo after his top aide admits they HID data on nursing home COVID deaths  https://t.co/DrwKu8nbx0  https://t.co/RPd8q9jXnh,62
2021-02-12,02:28:00,democracynow,"U.S. COVID Death Toll Tops 471,000  https://t.co/aR1RKv4tSP",67
2021-02-12,02:20:46,dailymail,Calls to prosecute Cuomo after his top aide admits they HID data on nursing home COVID deaths  https://t.co/vYBk8o6K9G,148
2021-02-12,01:39:48,cbsnews,"Bumble's CEO discusses company's IPO launch, dating trends during COVID-19 and personal challenges  https://t.co/P1hINHYyT6",56
2021-02-12,01:20:02,nbcnews,"President Biden announces that a deal has been finalized with Pfizer and Moderna to secure an additional 200M Covid-19 vaccine doses.   ""We have now purchased enough vaccine supply to vaccinate all Americans."" - @NBCNewsNow  https://t.co/LieuMByiBQ",1448
2021-02-12,00:00:14,nbcnightlynews,Research by the CDC shows double-masking can help block more than 90 percent of Covid-19 particles.   https://t.co/9a4qrXYSCG,66
2021-02-11,23:49:02,joncoopertweets,"Donald Trump's condition after testing positive for Covid-19 became so concerning last October that there was talk of putting him on a ventilator, according to what Trump told one person at the time.  https://t.co/Vl3AbxsbZC",87
2021-02-11,23:47:54,joncoopertweets,"Trump Was Sicker Than Acknowledged With Covid-19  When hospitalized with the coronavirus in October, his blood oxygen levels had plunged and officials feared he was on the verge of being placed on a ventilator.  https://t.co/oth59pkKXw",110
2021-02-11,23:44:54,11thhour,Trump was a lot sicker when he got Covid-19 than we originally knew according to the @nytimes. We asked @VinGuptaMD for his thoughts about that.  Learn more:  https://t.co/f0LUQGG4Hc  #11thHour  https://t.co/Iuniabi6vi,201
2021-02-11,23:14:07,senschumer,"Because Georgians sent @SenatorWarnock and @SenOssoff to the United States Senate:  This COVID relief bill will be bigger and bolder, and it will bring significantly more help to every American.  https://t.co/nJjntgObCp",14995
2021-02-11,23:04:36,gma,TOMORROW ON @GMA: Dr. Anthony Fauci joins us LIVE to talk the latest on the dire COVID-19 vaccine distributions taking place from coast to coast.  https://t.co/JX466FsXbL  https://t.co/7x6cDi9DiN,113
2021-02-11,23:00:00,kylegriffin1,"The House Ways and Means Committee has advanced its portion of the COVID relief bill — just hours after the House impeachment managers finished arguing their case, a sign Democrats are trying not to let impeachment sideline their work on Biden's agenda.  https://t.co/xg0u4ZehZZ",1712
2021-02-11,22:40:38,newsweek,"Under Andrew Cuomo's order, New York nursing homes received 9,000 COVID patients before May  https://t.co/UiNOca5U4B",113
2021-02-11,22:30:15,nbcnews,"There are thousands of people across the country who are chasing the dream of getting a Covid-19 vaccination even though their age, health and profession puts them at the end of the line.  https://t.co/QgMMBeE7LG",66
2021-02-11,22:30:12,wsj,"Pharmacies and groceries across the U.S. say they are determined that no Covid-19 vaccine doses will go to waste, and are compiling wait lists and putting their own workers on standby in case extra doses are left unused at day’s end  https://t.co/PZA2HkU8bL",144
2021-02-11,22:22:38,susanmcp1,"Speaking the truth as always, @JessicaValenti: ""Nearly every headline is some version of 'Covid forces women out of the workforce,' rather than the much more simple and truthful ""men’s refusal to EQUALLY PARENT rolls back women’s progress.”  https://t.co/uD21bpGeEe",49
2021-02-11,22:21:08,nypost,Instagram yanks Robert F. Kennedy Jr.'s account over bogus COVID vaccine claims  https://t.co/2YqawW6KPr  https://t.co/FHx3Oza9H9,112
2021-02-11,22:15:34,annaroisman,been in a lot of convos lately where people on the other end don’t realize covid is still out there and we are still staying home😳,79
2021-02-11,21:45:06,wsj,"Singapore is letting Chinese New Year festivities go ahead during Covid, but imploring celebrants not to shout traditional holiday phrases—by penalty of fines and jail time. “Say them in your hearts instead,” the prime minister said.  https://t.co/uVH8MPpcu9",73
